county,Species,value
Trans-Nzoia,Chicken(Layers),1147425
Trans-Nzoia,Chicken(Total),1433507
Trans-Nzoia,Donkeys,6019
Trans-Nzoia,Goat(Total),46139
Trans-Nzoia,Goats(Dairy),6527
Trans-Nzoia,Goats(Meat),39612
Trans-Nzoia,Pigs,8353
Trans-Nzoia,Rabbits,4943
Trans-Nzoia,Sheep(Hair),157324
Trans-Nzoia,Sheep(Total),161894
Trans-Nzoia,Sheep(Wool),4570
Turkana,Camels,1055246
Turkana,Cattle(Beef),3599189
Turkana,Cattle(Dairy),13
Turkana,Cattle(Total),3599202
Turkana,Chicken(Broilers),200
Turkana,Chicken(Indigenous),2780
Turkana,Chicken(Layers),1037758
Turkana,Chicken(Total),1040738
Turkana,Donkeys,542908
Turkana,Goat(Total),8061349
Turkana,Goats(Dairy),443
Turkana,Goats(Meat),8060906
Turkana,Pigs,346
Turkana,Rabbits,26
Turkana,Sheep(Hair),6651163
Turkana,Sheep(Total),6651163
Turkana,Sheep(Wool),0
Uasin Gishu,Camels,6
Uasin Gishu,Cattle(Beef),43622
Uasin Gishu,Cattle(Dairy),349714
Uasin Gishu,Cattle(Total),393336
Uasin Gishu,Chicken(Broilers),44305
Uasin Gishu,Chicken(Indigenous),44350
Uasin Gishu,Chicken(Layers),710235
Uasin Gishu,Chicken(Total),798890
Uasin Gishu,Donkeys,5700
Uasin Gishu,Goat(Total),89954
Uasin Gishu,Goats(Dairy),913
Uasin Gishu,Goats(Meat),89041
Uasin Gishu,Pigs,17251
Uasin Gishu,Rabbits,12570
Uasin Gishu,Sheep(Hair),141105
Uasin Gishu,Sheep(Total),181374
Uasin Gishu,Sheep(Wool),40269
Vihiga,Camels,0
Vihiga,Cattle(Beef),118750
Vihiga,Cattle(Dairy),45910
Vihiga,Cattle(Total),164660
Vihiga,Chicken(Broilers),8160
Vihiga,Chicken(Indigenous),10400
Vihiga,Chicken(Layers),924100
Vihiga,Chicken(Total),942660
Vihiga,Donkeys,55
Vihiga,Goat(Total),13150
Vihiga,Goats(Dairy),8350
Vihiga,Goats(Meat),4800
Vihiga,Pigs,3670
Vihiga,Rabbits,5395
Vihiga,Sheep(Hair),3840
Vihiga,Sheep(Total),3840
Vihiga,Sheep(Wool),0
Wajir,Camels,1209342
Wajir,Cattle(Beef),749849
Wajir,Cattle(Dairy),37
Wajir,Cattle(Total),749886
Wajir,Chicken(Broilers),11904
Wajir,Chicken(Indigenous),19350
Wajir,Chicken(Layers),486719
Wajir,Chicken(Total),517973
Wajir,Donkeys,0
Wajir,Goat(Total),2991801
Wajir,Goats(Dairy),32
Wajir,Goats(Meat),2991769
Wajir,Pigs,0
Wajir,Rabbits,12
Wajir,Sheep(Hair),2120701
Wajir,Sheep(Total),2120701
Wajir,Sheep(Wool),0
West Pokot,Camels,21343
West Pokot,Cattle(Beef),538879
West Pokot,Cattle(Dairy),132545
West Pokot,Cattle(Total),671424
West Pokot,Chicken(Broilers),2760
West Pokot,Chicken(Indigenous),11307
West Pokot,Chicken(Layers),816161
West Pokot,Chicken(Total),830228
West Pokot,Donkeys,3395
West Pokot,Goat(Total),820562
West Pokot,Goats(Dairy),1753
West Pokot,Goats(Meat),818809
West Pokot,Pigs,778
West Pokot,Rabbits,7279
West Pokot,Sheep(Hair),555941
West Pokot,Sheep(Total),656045
West Pokot,Sheep(Wool),100104
